packing_slip_number,center_id,city,model,diopter,serial_number,qty,order_date,ship_date,delivery_date,use_date,day_of_the_week_when_used
560588,OCNH,Heerhugowaard,PC545,23,11762966,1,01-09-25,01-09-25,02-09-25,01-09-25,Monday
560588,OCNH,Heerhugowaard,PC545,23,11762938,1,01-09-25,01-09-25,02-09-25,01-09-25,Monday
560588,OCNH,Heerhugowaard,PC545,22,11776447,1,01-09-25,01-09-25,02-09-25,01-09-25,Monday
560588,OCNH,Heerhugowaard,PC545,23,11762984,1,01-09-25,01-09-25,02-09-25,01-09-25,Monday
560588,OCNH,Heerhugowaard,PC545,19,11775671,1,01-09-25,01-09-25,02-09-25,01-09-25,Monday
560588,OCNH,Heerhugowaard,PC545,17,11772033,1,01-09-25,01-09-25,02-09-25,01-09-25,Monday
560588,OCNH,Heerhugowaard,PC545,23.5,11729264,1,01-09-25,01-09-25,02-09-25,01-09-25,Monday
560588,OCNH,Heerhugowaard,PC545,23,11762920,1,01-09-25,01-09-25,02-09-25,01-09-25,Monday
560588,OCNH,Heerhugowaard,PC545,20.5,11775285,1,01-09-25,01-09-25,02-09-25,01-09-25,Monday
560588,OCNH,Heerhugowaard,PC545,22,11776464,1,01-09-25,01-09-25,02-09-25,01-09-25,Monday
560588,OCNH,Heerhugowaard,PC545,18.5,11754243,1,01-09-25,01-09-25,02-09-25,01-09-25,Monday
560588,OCNH,Heerhugowaard,PC545,19,11775672,1,01-09-25,01-09-25,02-09-25,01-09-25,Monday
560588,OCNH,Heerhugowaard,PC545,19.5,11776697,1,01-09-25,01-09-25,02-09-25,01-09-25,Monday
560588,OCNH,Heerhugowaard,PC545,25,11716823,1,01-09-25,01-09-25,02-09-25,01-09-25,Monday
560588,OCNH,Heerhugowaard,PC545,19,11775702,1,01-09-25,01-09-25,02-09-25,01-09-25,Monday
560588,OCNH,Heerhugowaard,PC545,21.5,11782939,1,01-09-25,01-09-25,02-09-25,01-09-25,Monday
560689,OCNH,Heerhugowaard,PC545,22,11776436,1,03-09-25,03-09-25,03-09-25,02-09-25,Tuesday
560689,OCNH,Heerhugowaard,PC545,21,11779202,1,03-09-25,03-09-25,03-09-25,02-09-25,Tuesday
560689,OCNH,Heerhugowaard,PC545,22.5,11764752,1,03-09-25,03-09-25,03-09-25,02-09-25,Tuesday
560689,OCNH,Heerhugowaard,PC545,22,11776433,1,03-09-25,03-09-25,03-09-25,02-09-25,Tuesday
560689,OCNH,Heerhugowaard,PC545,19,11775684,1,03-09-25,03-09-25,03-09-25,02-09-25,Tuesday
560689,OCNH,Heerhugowaard,PC545,20,11767401,1,03-09-25,03-09-25,03-09-25,02-09-25,Tuesday
560689,OCNH,Heerhugowaard,PC545,21,11779250,1,03-09-25,03-09-25,03-09-25,02-09-25,Tuesday
560689,OCNH,Heerhugowaard,PC545,16.5,11772087,1,03-09-25,03-09-25,03-09-25,02-09-25,Tuesday
560689,OCNH,Heerhugowaard,PC545,16.5,11772084,1,03-09-25,03-09-25,03-09-25,02-09-25,Tuesday
560689,OCNH,Heerhugowaard,PC545,20.5,11785269,1,03-09-25,03-09-25,03-09-25,02-09-25,Tuesday
560689,OCNH,Heerhugowaard,PC545,21,11779190,1,03-09-25,03-09-25,03-09-25,02-09-25,Tuesday
560689,OCNH,Heerhugowaard,PC545,16.5,11772085,1,03-09-25,03-09-25,03-09-25,02-09-25,Tuesday
560689,OCNH,Heerhugowaard,PC545,23,11762951,1,03-09-25,03-09-25,03-09-25,02-09-25,Tuesday
560689,OCNH,Heerhugowaard,PC545,20,11776808,1,03-09-25,03-09-25,03-09-25,02-09-25,Tuesday
560689,OCNH,Heerhugowaard,PC545,22,11776439,1,03-09-25,03-09-25,03-09-25,02-09-25,Tuesday
560689,OCNH,Heerhugowaard,PC545,21.5,11782875,1,03-09-25,03-09-25,03-09-25,02-09-25,Tuesday
560689,OCNH,Heerhugowaard,PC545,21.5,11788134,1,03-09-25,03-09-25,03-09-25,02-09-25,Tuesday
560689,OCNH,Heerhugowaard,PC545,20.5,11785317,1,03-09-25,03-09-25,03-09-25,02-09-25,Tuesday
560689,OCNH,Heerhugowaard,PC545,19.5,11776656,1,03-09-25,03-09-25,03-09-25,02-09-25,Tuesday
560743,OCNH,Heerhugowaard,PC545,20,11776819,1,04-09-25,04-09-25,04-09-25,03-09-25,Wednesday
560743,OCNH,Heerhugowaard,PC545,20,11776816,1,04-09-25,04-09-25,04-09-25,03-09-25,Wednesday
560743,OCNH,Heerhugowaard,PC545,16.5,11780832,1,04-09-25,04-09-25,04-09-25,03-09-25,Wednesday
560743,OCNH,Heerhugowaard,PC545,16.5,11780825,1,04-09-25,04-09-25,04-09-25,03-09-25,Wednesday
560743,OCNH,Heerhugowaard,PC545,18.5,11785471,1,04-09-25,04-09-25,04-09-25,03-09-25,Wednesday
560743,OCNH,Heerhugowaard,PC545,20,11767405,1,04-09-25,04-09-25,04-09-25,03-09-25,Wednesday
560743,OCNH,Heerhugowaard,PC545,20,11767421,1,04-09-25,04-09-25,04-09-25,03-09-25,Wednesday
560743,OCNH,Heerhugowaard,PC545,19.5,11776676,1,04-09-25,04-09-25,04-09-25,03-09-25,Wednesday
560743,OCNH,Heerhugowaard,PC545,23,11762987,1,04-09-25,04-09-25,04-09-25,03-09-25,Wednesday
560743,OCNH,Heerhugowaard,PC545,20.5,11785321,1,04-09-25,04-09-25,04-09-25,03-09-25,Wednesday
560743,OCNH,Heerhugowaard,PC545,20.5,11785313,1,04-09-25,04-09-25,04-09-25,03-09-25,Wednesday
560743,OCNH,Heerhugowaard,PC545,23,11762971,1,04-09-25,04-09-25,04-09-25,03-09-25,Wednesday
560743,OCNH,Heerhugowaard,PC545,18.5,11754220,1,04-09-25,04-09-25,04-09-25,03-09-25,Wednesday
560743,OCNH,Heerhugowaard,PC545,17.5,11754107,1,04-09-25,04-09-25,04-09-25,03-09-25,Wednesday
560743,OCNH,Heerhugowaard,PC545,21,11779199,1,04-09-25,04-09-25,04-09-25,03-09-25,Wednesday
560743,OCNH,Heerhugowaard,PC545,21.5,11782879,1,04-09-25,04-09-25,04-09-25,03-09-25,Wednesday
560820,OCNH,Heerhugowaard,PC545,18.5,11785502,1,05-09-25,05-09-25,05-09-25,04-09-25,Thursday
560820,OCNH,Heerhugowaard,PC545,20.5,11785316,1,05-09-25,05-09-25,05-09-25,04-09-25,Thursday
560820,OCNH,Heerhugowaard,PC545,22,11776462,1,05-09-25,05-09-25,05-09-25,04-09-25,Thursday
560820,OCNH,Heerhugowaard,PC545,22.5,11764790,1,05-09-25,05-09-25,05-09-25,04-09-25,Thursday
560820,OCNH,Heerhugowaard,PC545,21.5,11782884,1,05-09-25,05-09-25,05-09-25,04-09-25,Thursday
560820,OCNH,Heerhugowaard,PC545,25,11716880,1,05-09-25,05-09-25,05-09-25,04-09-25,Thursday
560820,OCNH,Heerhugowaard,PC545,22.5,11764818,1,05-09-25,05-09-25,05-09-25,04-09-25,Thursday
560820,OCNH,Heerhugowaard,PC545,22,11776449,1,05-09-25,05-09-25,05-09-25,04-09-25,Thursday
560820,OCNH,Heerhugowaard,PC545,22,11776442,1,05-09-25,05-09-25,05-09-25,04-09-25,Thursday
560820,OCNH,Heerhugowaard,PC545,25,11716894,1,05-09-25,05-09-25,05-09-25,04-09-25,Thursday
560820,OCNH,Heerhugowaard,PC545,23,11760194,1,05-09-25,05-09-25,05-09-25,04-09-25,Thursday
560820,OCNH,Heerhugowaard,PC545,22,11776480,1,05-09-25,05-09-25,05-09-25,04-09-25,Thursday
560820,OCNH,Heerhugowaard,PC545,21,11779223,1,05-09-25,05-09-25,05-09-25,04-09-25,Thursday
560820,OCNH,Heerhugowaard,PC545,20.5,11785294,1,05-09-25,05-09-25,05-09-25,04-09-25,Thursday
560820,OCNH,Heerhugowaard,PC545,25,11716830,1,05-09-25,05-09-25,05-09-25,04-09-25,Thursday
560820,OCNH,Heerhugowaard,PC545,24,11729441,1,05-09-25,05-09-25,05-09-25,04-09-25,Thursday
560820,OCNH,Heerhugowaard,PC545,19,11775696,1,05-09-25,05-09-25,05-09-25,04-09-25,Thursday
560820,OCNH,Heerhugowaard,PC545,18.5,11785504,1,05-09-25,05-09-25,05-09-25,04-09-25,Thursday
560820,OCNH,Heerhugowaard,PC545,20.5,11785266,1,05-09-25,05-09-25,05-09-25,04-09-25,Thursday
560820,OCNH,Heerhugowaard,PC545,16.5,11780781,1,05-09-25,05-09-25,05-09-25,04-09-25,Thursday
560953,OCNH,Heerhugowaard,PC545,19.5,11647827,1,09-09-25,09-09-25,09-09-25,08-09-25,Monday
560953,OCNH,Heerhugowaard,PC545,18.5,11785448,1,09-09-25,09-09-25,09-09-25,08-09-25,Monday
560953,OCNH,Heerhugowaard,PC545,23.5,11765545,1,09-09-25,09-09-25,09-09-25,08-09-25,Monday
560953,OCNH,Heerhugowaard,PC545,23.5,11729292,1,09-09-25,09-09-25,09-09-25,08-09-25,Monday
560953,OCNH,Heerhugowaard,PC545,19.5,11776689,1,09-09-25,09-09-25,09-09-25,08-09-25,Monday
560953,OCNH,Heerhugowaard,PC545,24,11729486,1,09-09-25,09-09-25,09-09-25,08-09-25,Monday
560953,OCNH,Heerhugowaard,PC545,23,11762908,1,09-09-25,09-09-25,09-09-25,08-09-25,Monday
560953,OCNH,Heerhugowaard,PC545,14,11697829,1,09-09-25,09-09-25,09-09-25,08-09-25,Monday
560953,OCNH,Heerhugowaard,PC545,22.5,11764764,1,09-09-25,09-09-25,09-09-25,08-09-25,Monday
560953,OCNH,Heerhugowaard,PC545,23,11762918,1,09-09-25,09-09-25,09-09-25,08-09-25,Monday
560953,OCNH,Heerhugowaard,PC545,20,11776758,1,09-09-25,09-09-25,09-09-25,08-09-25,Monday
560953,OCNH,Heerhugowaard,PC545,16,11693352,1,09-09-25,09-09-25,09-09-25,08-09-25,Monday
560953,OCNH,Heerhugowaard,PC545,28.5,11550347,1,09-09-25,09-09-25,09-09-25,08-09-25,Monday
560953,OCNH,Heerhugowaard,PC545,28,11481685,1,09-09-25,09-09-25,09-09-25,08-09-25,Monday
560953,OCNH,Heerhugowaard,PC545,15,11568819,1,09-09-25,09-09-25,09-09-25,08-09-25,Monday
561043,OCNH,Heerhugowaard,PC545,17,11772041,1,10-09-25,10-09-25,10-09-25,09-09-25,Tuesday
561043,OCNH,Heerhugowaard,PC545,18.5,11785476,1,10-09-25,10-09-25,10-09-25,09-09-25,Tuesday
561043,OCNH,Heerhugowaard,PC545,19.5,11776720,1,10-09-25,10-09-25,10-09-25,09-09-25,Tuesday
561043,OCNH,Heerhugowaard,PC545,20,11776786,1,10-09-25,10-09-25,10-09-25,09-09-25,Tuesday
561043,OCNH,Heerhugowaard,PC545,23,11762965,1,10-09-25,10-09-25,10-09-25,09-09-25,Tuesday
561043,OCNH,Heerhugowaard,PC545,23,11762944,1,10-09-25,10-09-25,10-09-25,09-09-25,Tuesday
561043,OCNH,Heerhugowaard,PC545,20,11776797,1,10-09-25,10-09-25,10-09-25,09-09-25,Tuesday
561043,OCNH,Heerhugowaard,PC545,15.5,11738924,1,10-09-25,10-09-25,10-09-25,09-09-25,Tuesday
561110,OCNH,Heerhugowaard,PC545,17.5,11754085,1,11-09-25,11-09-25,11-09-25,10-09-25,Wednesday
561110,OCNH,Heerhugowaard,PC545,23.5,11765563,1,11-09-25,11-09-25,11-09-25,10-09-25,Wednesday
561110,OCNH,Heerhugowaard,PC545,21.5,11778212,1,11-09-25,11-09-25,11-09-25,10-09-25,Wednesday
561110,OCNH,Heerhugowaard,PC545,19,11775645,1,11-09-25,11-09-25,11-09-25,10-09-25,Wednesday
561110,OCNH,Heerhugowaard,PC545,19,11775650,1,11-09-25,11-09-25,11-09-25,10-09-25,Wednesday
561110,OCNH,Heerhugowaard,PC545,22.5,11764811,1,11-09-25,11-09-25,11-09-25,10-09-25,Wednesday
561110,OCNH,Heerhugowaard,PC545,22.5,11764826,1,11-09-25,11-09-25,11-09-25,10-09-25,Wednesday
561110,OCNH,Heerhugowaard,PC545,12.5,11613045,1,11-09-25,11-09-25,11-09-25,10-09-25,Wednesday
561110,OCNH,Heerhugowaard,PC545,13,11300804,1,11-09-25,11-09-25,11-09-25,10-09-25,Wednesday
561110,OCNH,Heerhugowaard,PC545,19.5,11776682,1,11-09-25,11-09-25,11-09-25,10-09-25,Wednesday
561110,OCNH,Heerhugowaard,PC545,19.5,11776681,1,11-09-25,11-09-25,11-09-25,10-09-25,Wednesday
561110,OCNH,Heerhugowaard,PC545,23,11762931,1,11-09-25,11-09-25,11-09-25,10-09-25,Wednesday
561110,OCNH,Heerhugowaard,PC545,23,11762928,1,11-09-25,11-09-25,11-09-25,10-09-25,Wednesday
561110,OCNH,Heerhugowaard,PC545,22,11776501,1,11-09-25,11-09-25,11-09-25,10-09-25,Wednesday
561110,OCNH,Heerhugowaard,PC545,22,11776479,1,11-09-25,11-09-25,11-09-25,10-09-25,Wednesday
561110,OCNH,Heerhugowaard,PC545,22.5,11764816,1,11-09-25,11-09-25,11-09-25,10-09-25,Wednesday
561110,OCNH,Heerhugowaard,PC545,14.5,11707128,1,11-09-25,11-09-25,11-09-25,10-09-25,Wednesday
561185,OCNH,Heerhugowaard,PC545,21,11779243,1,12-09-25,12-09-25,12-09-25,11-09-25,Thursday
561185,OCNH,Heerhugowaard,PC545,18,11773596,1,12-09-25,12-09-25,12-09-25,11-09-25,Thursday
561185,OCNH,Heerhugowaard,PC545,21,11779225,1,12-09-25,12-09-25,12-09-25,11-09-25,Thursday
561185,OCNH,Heerhugowaard,PC545,21,11779246,1,12-09-25,12-09-25,12-09-25,11-09-25,Thursday
561185,OCNH,Heerhugowaard,PC545,22.5,11764820,1,12-09-25,12-09-25,12-09-25,11-09-25,Thursday
561185,OCNH,Heerhugowaard,PC545,22,11776440,1,12-09-25,12-09-25,12-09-25,11-09-25,Thursday
561185,OCNH,Heerhugowaard,PC545,23,11762986,1,12-09-25,12-09-25,12-09-25,11-09-25,Thursday
561185,OCNH,Heerhugowaard,PC545,21,11779228,1,12-09-25,12-09-25,12-09-25,11-09-25,Thursday
561185,OCNH,Heerhugowaard,PC545,21,11779220,1,12-09-25,12-09-25,12-09-25,11-09-25,Thursday
561185,OCNH,Heerhugowaard,PC545,14.5,11787055,1,12-09-25,12-09-25,12-09-25,11-09-25,Thursday
561253,OCNH,Heerhugowaard,PC545,12.5,11441546,1,15-09-25,15-09-25,15-09-25,13-09-25,Saturday
561253,OCNH,Heerhugowaard,PC545,23,11762937,1,15-09-25,15-09-25,15-09-25,13-09-25,Saturday
561253,OCNH,Heerhugowaard,PC545,21,11785413,1,15-09-25,15-09-25,15-09-25,13-09-25,Saturday
561253,OCNH,Heerhugowaard,PC545,18,11721873,1,15-09-25,15-09-25,15-09-25,13-09-25,Saturday
561253,OCNH,Heerhugowaard,PC545,21.5,11782902,1,15-09-25,15-09-25,15-09-25,13-09-25,Saturday
561253,OCNH,Heerhugowaard,PC545,21,11779249,1,15-09-25,15-09-25,15-09-25,13-09-25,Saturday
561253,OCNH,Heerhugowaard,PC545,20,11776826,1,15-09-25,15-09-25,15-09-25,13-09-25,Saturday
561253,OCNH,Heerhugowaard,PC545,17,11772039,1,15-09-25,15-09-25,15-09-25,13-09-25,Saturday
561253,OCNH,Heerhugowaard,PC545,28,11481647,1,15-09-25,15-09-25,15-09-25,13-09-25,Saturday
561253,OCNH,Heerhugowaard,PC545,21.5,11782892,1,15-09-25,15-09-25,15-09-25,13-09-25,Saturday
561253,OCNH,Heerhugowaard,PC545,18,11721869,1,15-09-25,15-09-25,15-09-25,13-09-25,Saturday
561253,OCNH,Heerhugowaard,PC545,21.5,11782920,1,15-09-25,15-09-25,15-09-25,13-09-25,Saturday
561253,OCNH,Heerhugowaard,PC545,22,11776437,1,15-09-25,15-09-25,15-09-25,13-09-25,Saturday
561253,OCNH,Heerhugowaard,PC545,22.5,11764739,1,15-09-25,15-09-25,15-09-25,13-09-25,Saturday
561253,OCNH,Heerhugowaard,PC545,22,11776422,1,15-09-25,15-09-25,15-09-25,13-09-25,Saturday
561253,OCNH,Heerhugowaard,PC545,21,11779207,1,15-09-25,15-09-25,15-09-25,13-09-25,Saturday
561330,OCNH,Heerhugowaard,PC545,24,11729482,1,16-09-25,16-09-25,16-09-25,15-09-25,Monday
561330,OCNH,Heerhugowaard,PC545,24,11729509,1,16-09-25,16-09-25,16-09-25,15-09-25,Monday
561330,OCNH,Heerhugowaard,PC545,21.5,11782868,1,16-09-25,16-09-25,16-09-25,15-09-25,Monday
561330,OCNH,Heerhugowaard,PC545,21.5,11782861,1,16-09-25,16-09-25,16-09-25,15-09-25,Monday
561330,OCNH,Heerhugowaard,PC545,15.5,11738922,1,16-09-25,16-09-25,16-09-25,15-09-25,Monday
561330,OCNH,Heerhugowaard,PC545,16.5,11780789,1,16-09-25,16-09-25,16-09-25,15-09-25,Monday
561330,OCNH,Heerhugowaard,PC545,17.5,11754097,1,16-09-25,16-09-25,16-09-25,15-09-25,Monday
561330,OCNH,Heerhugowaard,PC545,25,11716873,1,16-09-25,16-09-25,16-09-25,15-09-25,Monday
561330,OCNH,Heerhugowaard,PC545,25.5,11736022,1,16-09-25,16-09-25,16-09-25,15-09-25,Monday
561330,OCNH,Heerhugowaard,PC545,22,11792303,1,16-09-25,16-09-25,16-09-25,15-09-25,Monday
561330,OCNH,Heerhugowaard,PC545,22,11792267,1,16-09-25,16-09-25,16-09-25,15-09-25,Monday
561330,OCNH,Heerhugowaard,PC545,14.5,11787047,1,16-09-25,16-09-25,16-09-25,15-09-25,Monday
561330,OCNH,Heerhugowaard,PC545,15,11782989,1,16-09-25,16-09-25,16-09-25,15-09-25,Monday
561330,OCNH,Heerhugowaard,PC545,24,11729435,1,16-09-25,16-09-25,16-09-25,15-09-25,Monday
561330,OCNH,Heerhugowaard,PC545,20,11776815,1,16-09-25,16-09-25,16-09-25,15-09-25,Monday
561330,OCNH,Heerhugowaard,PC545,20,11767382,1,16-09-25,16-09-25,16-09-25,15-09-25,Monday
561330,OCNH,Heerhugowaard,PC545,20.5,11785306,1,16-09-25,16-09-25,16-09-25,15-09-25,Monday
561330,OCNH,Heerhugowaard,PC545,20.5,11785279,1,16-09-25,16-09-25,16-09-25,15-09-25,Monday
561330,OCNH,Heerhugowaard,PC545,21,11779210,1,16-09-25,16-09-25,16-09-25,15-09-25,Monday
561481,OCNH,Heerhugowaard,PC545,23,11793320,1,18-09-25,18-09-25,18-09-25,17-09-25,Wednesday
561481,OCNH,Heerhugowaard,PC545,19,11775616,1,18-09-25,18-09-25,18-09-25,17-09-25,Wednesday
561481,OCNH,Heerhugowaard,PC545,15.5,11605350,1,18-09-25,18-09-25,18-09-25,17-09-25,Wednesday
561481,OCNH,Heerhugowaard,PC545,22,11792283,1,18-09-25,18-09-25,18-09-25,17-09-25,Wednesday
561481,OCNH,Heerhugowaard,PC545,22,11792325,1,18-09-25,18-09-25,18-09-25,17-09-25,Wednesday
561481,OCNH,Heerhugowaard,PC545,22.5,11764798,1,18-09-25,18-09-25,18-09-25,17-09-25,Wednesday
561481,OCNH,Heerhugowaard,PC545,23,11762940,1,18-09-25,18-09-25,18-09-25,17-09-25,Wednesday
561481,OCNH,Heerhugowaard,PC545,21,11785367,1,18-09-25,18-09-25,18-09-25,17-09-25,Wednesday
561481,OCNH,Heerhugowaard,PC545,22,11792273,1,18-09-25,18-09-25,18-09-25,17-09-25,Wednesday
561481,OCNH,Heerhugowaard,PC545,17,11772016,1,18-09-25,18-09-25,18-09-25,17-09-25,Wednesday
561481,OCNH,Heerhugowaard,PC545,23,11793280,1,18-09-25,18-09-25,18-09-25,17-09-25,Wednesday
561481,OCNH,Heerhugowaard,PC545,21.5,11782909,1,18-09-25,18-09-25,18-09-25,17-09-25,Wednesday
561481,OCNH,Heerhugowaard,PC545,21.5,11782891,1,18-09-25,18-09-25,18-09-25,17-09-25,Wednesday
561481,OCNH,Heerhugowaard,PC545,19,11775628,1,18-09-25,18-09-25,18-09-25,17-09-25,Wednesday
561481,OCNH,Heerhugowaard,PC545,18.5,11785512,1,18-09-25,18-09-25,18-09-25,17-09-25,Wednesday
561481,OCNH,Heerhugowaard,PC545,21,11779229,1,18-09-25,18-09-25,18-09-25,17-09-25,Wednesday
561549,OCNH,Heerhugowaard,PC545,6,11569923,1,19-09-25,19-09-25,19-09-25,18-09-25,Thursday
561549,OCNH,Heerhugowaard,PC545,23.5,11765561,1,19-09-25,19-09-25,19-09-25,18-09-25,Thursday
561549,OCNH,Heerhugowaard,PC545,25.5,11736051,1,19-09-25,19-09-25,19-09-25,18-09-25,Thursday
561549,OCNH,Heerhugowaard,PC545,24.5,11710434,1,19-09-25,19-09-25,19-09-25,18-09-25,Thursday
561549,OCNH,Heerhugowaard,PC545,22,11792302,1,19-09-25,19-09-25,19-09-25,18-09-25,Thursday
561549,OCNH,Heerhugowaard,PC545,22,11792250,1,19-09-25,19-09-25,19-09-25,18-09-25,Thursday
561549,OCNH,Heerhugowaard,PC545,25,11716903,1,19-09-25,19-09-25,19-09-25,18-09-25,Thursday
561549,OCNH,Heerhugowaard,PC545,24.5,11710414,1,19-09-25,19-09-25,19-09-25,18-09-25,Thursday
561549,OCNH,Heerhugowaard,PC545,19.5,11776716,1,19-09-25,19-09-25,19-09-25,18-09-25,Thursday
561549,OCNH,Heerhugowaard,PC545,18.5,11785508,1,19-09-25,19-09-25,19-09-25,18-09-25,Thursday
561549,OCNH,Heerhugowaard,PC545,22,11792277,1,19-09-25,19-09-25,19-09-25,18-09-25,Thursday
561549,OCNH,Heerhugowaard,PC545,21,11779257,1,19-09-25,19-09-25,19-09-25,18-09-25,Thursday
561549,OCNH,Heerhugowaard,PC545,20.5,11785250,1,19-09-25,19-09-25,19-09-25,18-09-25,Thursday
561549,OCNH,Heerhugowaard,PC545,19,11775629,1,19-09-25,19-09-25,19-09-25,18-09-25,Thursday
