order_number,center_id,city,model,diopter,cyl,qty,order_date,ship_date,delivery_date,freight_mode
558499,ELW,Warmond,PC580,5.0,NA,3,21-07-25,21-07-25,14-08-25,STD
558499,ELW,Warmond,PC580,6.0,NA,3,21-07-25,21-07-25,14-08-25,STD
558499,ELW,Warmond,PC580,8.0,NA,3,21-07-25,21-07-25,14-08-25,STD
558499,ELW,Warmond,PC580,9.0,NA,3,21-07-25,21-07-25,14-08-25,STD
558499,ELW,Warmond,PC580,10.0,NA,4,21-07-25,21-07-25,14-08-25,STD
558499,ELW,Warmond,PC580,10.5,NA,4,21-07-25,21-07-25,14-08-25,STD
558499,ELW,Warmond,PC580,11.0,NA,4,21-07-25,21-07-25,14-08-25,STD
558499,ELW,Warmond,PC580,11.5,NA,1,21-07-25,21-07-25,14-08-25,STD
558499,ELW,Warmond,PC580,12.0,NA,4,21-07-25,21-07-25,14-08-25,STD
558499,ELW,Warmond,PC580,12.5,NA,4,21-07-25,21-07-25,14-08-25,STD
558499,ELW,Warmond,PC580,13.0,NA,4,21-07-25,21-07-25,14-08-25,STD
558499,ELW,Warmond,PC580,13.5,NA,4,21-07-25,21-07-25,14-08-25,STD
558499,ELW,Warmond,PC580,14.0,NA,6,21-07-25,21-07-25,14-08-25,STD
558499,ELW,Warmond,PC580,14.5,NA,6,21-07-25,21-07-25,14-08-25,STD
558499,ELW,Warmond,PC580,15.0,NA,6,21-07-25,21-07-25,14-08-25,STD
558499,ELW,Warmond,PC580,15.5,NA,6,21-07-25,21-07-25,14-08-25,STD
558499,ELW,Warmond,PC580,16.0,NA,8,21-07-25,21-07-25,14-08-25,STD
558499,ELW,Warmond,PC580,16.5,NA,8,21-07-25,21-07-25,14-08-25,STD
558499,ELW,Warmond,PC580,17.0,NA,8,21-07-25,21-07-25,14-08-25,STD
558499,ELW,Warmond,PC580,17.5,NA,16,21-07-25,21-07-25,14-08-25,STD
558499,ELW,Warmond,PC580,18.0,NA,16,21-07-25,21-07-25,14-08-25,STD
558499,ELW,Warmond,PC580,18.5,NA,16,21-07-25,21-07-25,14-08-25,STD
558499,ELW,Warmond,PC580,19.0,NA,20,21-07-25,21-07-25,14-08-25,STD
