order_number,center_id,city,model,diopter,cyl,qty,order_date,ship_date,delivery_date,freight_mode
560588,OCNH,Heerhugowaard,PC545,17,NA,1,01-09-25,01-09-25,02-09-25,RUSH
560588,OCNH,Heerhugowaard,PC545,18.5,NA,1,01-09-25,01-09-25,02-09-25,RUSH
560588,OCNH,Heerhugowaard,PC545,19,NA,3,01-09-25,01-09-25,02-09-25,RUSH
560588,OCNH,Heerhugowaard,PC545,19.5,NA,1,01-09-25,01-09-25,02-09-25,RUSH
560588,OCNH,Heerhugowaard,PC545,20.5,NA,1,01-09-25,01-09-25,02-09-25,RUSH
560588,OCNH,Heerhugowaard,PC545,21.5,NA,1,01-09-25,01-09-25,02-09-25,RUSH
560588,OCNH,Heerhugowaard,PC545,22,NA,2,01-09-25,01-09-25,02-09-25,RUSH
560588,OCNH,Heerhugowaard,PC545,23,NA,4,01-09-25,01-09-25,02-09-25,RUSH
560588,OCNH,Heerhugowaard,PC545,23.5,NA,1,01-09-25,01-09-25,02-09-25,RUSH
560588,OCNH,Heerhugowaard,PC545,25,NA,1,01-09-25,01-09-25,02-09-25,RUSH
560689,OCNH,Heerhugowaard,PC545,16.5,NA,3,03-09-25,03-09-25,03-09-25,RUSH
560689,OCNH,Heerhugowaard,PC545,19,NA,1,03-09-25,03-09-25,03-09-25,RUSH
560689,OCNH,Heerhugowaard,PC545,19.5,NA,1,03-09-25,03-09-25,03-09-25,RUSH
560689,OCNH,Heerhugowaard,PC545,20,NA,2,03-09-25,03-09-25,03-09-25,RUSH
560689,OCNH,Heerhugowaard,PC545,20.5,NA,2,03-09-25,03-09-25,03-09-25,RUSH
560689,OCNH,Heerhugowaard,PC545,21,NA,3,03-09-25,03-09-25,03-09-25,RUSH
560689,OCNH,Heerhugowaard,PC545,21.5,NA,2,03-09-25,03-09-25,03-09-25,RUSH
560689,OCNH,Heerhugowaard,PC545,22,NA,3,03-09-25,03-09-25,03-09-25,RUSH
560689,OCNH,Heerhugowaard,PC545,22.5,NA,1,03-09-25,03-09-25,03-09-25,RUSH
560689,OCNH,Heerhugowaard,PC545,23,NA,1,03-09-25,03-09-25,03-09-25,RUSH
560743,OCNH,Heerhugowaard,PC545,16.5,NA,2,04-09-25,04-09-25,04-09-25,RUSH
560743,OCNH,Heerhugowaard,PC545,17.5,NA,1,04-09-25,04-09-25,04-09-25,RUSH
560743,OCNH,Heerhugowaard,PC545,18.5,NA,2,04-09-25,04-09-25,04-09-25,RUSH
560743,OCNH,Heerhugowaard,PC545,19.5,NA,1,04-09-25,04-09-25,04-09-25,RUSH
560743,OCNH,Heerhugowaard,PC545,20,NA,4,04-09-25,04-09-25,04-09-25,RUSH
560743,OCNH,Heerhugowaard,PC545,20.5,NA,2,04-09-25,04-09-25,04-09-25,RUSH
560743,OCNH,Heerhugowaard,PC545,21,NA,1,04-09-25,04-09-25,04-09-25,RUSH
560743,OCNH,Heerhugowaard,PC545,21.5,NA,1,04-09-25,04-09-25,04-09-25,RUSH
560743,OCNH,Heerhugowaard,PC545,23,NA,2,04-09-25,04-09-25,04-09-25,RUSH
560820,OCNH,Heerhugowaard,PC545,16.5,NA,1,05-09-25,05-09-25,05-09-25,RUSH
560820,OCNH,Heerhugowaard,PC545,18.5,NA,2,05-09-25,05-09-25,05-09-25,RUSH
