model,diopter,qty
PC545,5,3
PC545,6,3
PC545,7,6
PC545,8,4
PC545,9,4
PC545,10,6
PC545,10.5,7
PC545,11,7
PC545,11.5,3
PC545,12,4
PC545,12.5,5
PC545,13,7
PC545,13.5,4
PC545,14,7
PC545,14.5,5
PC545,15,7
PC545,15.5,7
PC545,16,7
PC545,16.5,7
PC545,17,11
PC545,17.5,30
PC545,18,20
PC545,18.5,14
PC545,19,20
PC545,19.5,23
PC545,20,21
PC545,20.5,27
PC545,21,21
PC545,21.5,23
PC545,22,19
PC545,22.5,21
PC545,23,20
PC545,23.5,14
PC545,24,16
PC545,24.5,12
PC545,25,12
PC545,25.5,10
PC545,26,11
PC545,26.5,6
PC545,27,6
PC545,27.5,4
PC545,28,5
PC545,28.5,4
PC545,29,4
PC545,29.5,8
PC545,30,6
PC545,31,6
PC545,32,4
PC545,33,4
PC545,34,4
PC545,35,3
